metric,scope,value,unit,status,notes
phase5a_teaching_metadata_tests,synthetic,1,tests,PASS,"Block and special-event extraction"
phase5a_lms_model_tests,synthetic,6,tests,PASS,"Normalization and invariant checks"
phase5a_resolver_tests,synthetic,11,tests,PASS,"Exact context, curriculum lookup, next-event and safe failures"
python_unit_tests,synthetic,210,tests,PASS,"Full browser-runner suite"
python_ruff,synthetic,1,command,PASS,"Ruff check for apps/browser-runner"
python_mypy,synthetic,22,source_files,PASS,"Mypy source check"
web_unit_tests,synthetic,57,tests,PASS,"Vitest suite; 12 files"
web_lint,synthetic,1,command,PASS,"npm run lint"
web_typecheck,synthetic,1,command,PASS,"npm run typecheck"
web_build,synthetic,1,command,PASS,"npm run build"
no_secrets,synthetic,1,command,PASS,"No secret values detected"
no_live_write,synthetic,1,command,PASS,"No LMS write action detected"
supabase_db_reset,synthetic-local,1,runs,PASS,"Local schema reset"
supabase_rls_tests,synthetic-local,67,tests,PASS,"Three pgTAP files passed"
live_field_shape_smoke,live,1,runs,PASS,"Owner-controlled read-only observation only"
live_parser_integration,live,not-run,runs,BLOCKED,"No live adapter added in Phase 5A"
production_persistence,live,not-run,runs,BLOCKED,"No Supabase persistence added in Phase 5A"
